0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2.94,8.96,24.52,35.56,47.92,52.17,53.37,54.47,56.41,66.38,70.26,77.2,79.02,82.8,81.65
0,2.79,10.77,25.04,26.85,33.98,37.88,37.2,40.71,49.59,59.54,66.22,67.31,68.47,71,71.04
0,2.42,26.78,28.39,37.8,42.69,48.33,48.98,56.44,60.76,71.21,72.14,73.19,78.64,79.32,82.71
0,2.31,26.71,27.37,36.75,44.65,46.93,50.11,60.22,66.19,66.17,68.01,68.92,72.53,72.34,74.75
